Time,Attacks,Power
1684399827289,0,305.6
1684399827490,0,305.6
1684399827690,0,305.6
1684399827891,0,306.4
1684399828091,0,307.2
1684399828292,0,305.2
1684399828492,0,308.79999999999995
1684399828692,0,305.6
1684399828892,0,306.0
1684399829093,0,306.4
1684399829293,0,305.6
1684399829493,0,305.6
1684399829694,0,306.4
1684399829894,0,306.4
1684399830094,0,306.0
1684399830295,0,306.4
1684399830495,0,307.6
1684399830695,0,306.0
1684399830895,0,307.2
1684399831096,0,306.79999999999995
1684399831296,0,306.4
1684399831496,0,306.0
1684399831697,0,315.2
1684399831897,0,309.2
1684399832097,0,306.4
1684399832297,0,306.4
1684399832498,0,305.6
1684399832698,0,306.0
1684399832898,0,304.8
1684399833098,0,307.2
1684399833299,0,307.2
1684399833499,0,305.2
1684399833699,0,305.2
1684399833900,0,305.2
1684399834100,0,306.79999999999995
1684399834300,0,306.79999999999995
1684399834500,0,306.0
1684399834701,0,306.0
1684399834901,0,305.6
1684399835101,0,306.0
1684399835301,0,306.0
1684399835502,0,304.8
1684399835702,0,305.6
1684399835902,0,306.4
1684399836103,0,306.4
1684399836303,0,306.0
1684399836503,0,306.79999999999995
1684399836703,0,305.6
1684399836904,0,306.0
1684399837104,0,305.6
1684399837304,0,305.2
1684399837504,0,309.2
1684399837705,0,306.4
1684399837905,0,306.4
1684399838105,0,306.0
1684399838306,0,305.6
1684399838506,0,305.6
1684399838706,0,304.8
1684399838906,0,306.4
1684399839107,0,304.8
1684399839307,0,304.8
1684399839507,0,305.2
1684399839708,0,304.8
1684399839908,0,306.4
1684399840108,0,306.0
1684399840308,0,306.4
1684399840509,0,306.4
1684399840709,0,305.6
1684399840909,0,310.0
1684399841109,0,308.79999999999995
1684399841310,0,306.4
1684399841510,0,305.6
1684399841710,0,306.4
1684399841911,0,306.4
1684399842111,0,306.79999999999995
1684399842311,0,305.6
1684399842511,0,305.6
1684399842712,0,305.6
1684399842912,0,306.4
1684399843112,0,308.0
1684399843312,0,305.6
1684399843513,0,305.6
1684399843713,0,304.8
1684399843913,0,306.0
1684399844114,0,306.4
1684399844314,0,306.4
1684399844514,0,305.6
1684399844714,0,306.0
1684399844915,0,306.4
1684399845115,0,306.4
1684399845315,0,306.0
1684399845515,0,306.0
1684399845716,0,306.4
1684399845916,0,306.0
1684399846116,0,306.4
1684399846317,0,306.4
1684399846517,0,306.0
1684399846717,0,308.79999999999995
1684399846917,0,306.79999999999995
1684399847118,0,306.4
1684399847318,0,306.0
1684399847518,0,305.6
1684399847718,0,306.79999999999995
1684399847919,0,305.6
1684399848119,0,305.2
1684399848319,0,305.2
1684399848519,0,306.0
1684399848720,0,305.6
1684399848920,0,306.4
1684399849120,0,305.2
1684399849321,0,305.2
1684399849521,0,306.4
1684399849721,0,306.79999999999995
1684399849921,0,305.2
1684399850122,0,305.2
1684399850322,0,309.2
1684399850522,0,305.6
1684399850722,0,305.2
1684399850923,0,306.0
1684399851123,0,306.4
1684399851323,0,305.6
1684399851524,0,305.6
1684399851723,0,306.0
1684399851924,0,306.4
1684399852124,0,306.4
1684399852325,0,306.4
1684399852525,0,306.0
1684399852725,0,306.4
1684399852925,0,306.4
1684399853126,0,305.2
1684399853326,0,305.6
1684399853526,0,306.0
1684399853727,0,305.2
1684399853927,0,306.0
1684399854127,0,305.6
1684399854327,0,306.4
1684399854528,0,305.6
1684399854728,0,305.6
1684399854928,0,306.79999999999995
1684399855128,0,306.4
1684399855329,0,306.0
1684399855529,0,306.0
1684399855729,0,307.2
1684399855930,0,316.4
1684399856130,0,307.6
1684399856330,0,306.79999999999995
1684399856530,0,305.6
1684399856731,0,306.4
1684399856931,0,306.0
1684399857131,0,306.0
1684399857332,0,306.79999999999995
1684399857532,0,306.0
1684399857732,0,307.2
1684399857932,0,306.0
1684399858133,0,306.4
1684399858333,0,306.4
1684399858533,0,306.4
1684399858733,0,305.6
1684399858934,0,306.0
1684399859134,0,306.4
1684399859334,0,306.4
1684399859534,0,306.4
1684399859735,0,308.0
1684399859935,0,306.79999999999995
1684399860135,0,306.4
1684399860336,0,306.4
1684399860536,0,306.0
1684399860736,0,307.2
1684399860936,0,305.6
1684399861137,0,310.0
1684399861337,0,306.4
1684399861537,0,305.2
1684399861738,0,306.79999999999995
1684399861938,0,306.0
1684399862138,0,307.2
1684399862338,0,306.4
1684399862539,0,306.4
1684399862739,0,306.4
1684399862939,0,306.4
1684399863139,0,306.4
1684399863340,0,308.0
1684399863540,0,306.79999999999995
1684399863740,0,306.0
1684399863941,0,306.4
1684399864141,0,306.4
1684399864341,0,307.6
1684399864541,0,306.79999999999995
1684399864742,0,305.6
1684399864942,0,307.6
1684399865142,0,306.79999999999995
1684399865342,0,306.4
1684399865543,0,306.4
1684399865743,0,306.4
1684399865943,0,305.2
1684399866144,0,306.79999999999995
1684399866344,0,306.0
1684399866544,0,305.2
1684399866744,0,306.4
1684399866945,0,306.79999999999995
1684399867145,0,306.79999999999995
1684399867345,0,306.4
1684399867545,0,306.4
1684399867746,0,309.59999999999997
1684399867946,0,307.2
1684399868146,0,306.79999999999995
1684399868347,0,305.6
1684399868547,0,306.79999999999995
1684399868747,0,305.6
1684399868947,0,306.79999999999995
1684399869148,0,306.79999999999995
1684399869348,0,306.0
1684399869548,0,306.4
1684399869748,0,305.6
1684399869949,0,306.4
1684399870149,0,306.4
1684399870349,0,306.4
1684399870549,0,307.2
1684399870750,0,306.79999999999995
1684399870950,0,321.6
1684399871150,0,308.79999999999995
1684399871351,0,306.79999999999995
1684399871551,0,305.6
1684399871751,0,307.6
1684399871951,0,306.4
1684399872152,0,309.2
1684399872352,0,306.4
1684399872552,0,307.2
1684399872752,0,305.6
1684399872953,0,306.4
1684399873153,0,306.79999999999995
1684399873353,0,306.0
1684399873554,0,305.6
1684399873754,0,306.0
1684399873954,0,306.79999999999995
1684399874154,0,306.4
1684399874355,0,306.0
1684399874555,0,305.6
1684399874755,0,306.0
1684399874955,0,305.2
1684399875156,0,305.2
1684399875356,0,306.0
1684399875556,0,306.79999999999995
1684399875757,0,306.0
1684399875957,0,305.6
1684399876157,0,305.2
1684399876357,0,306.0
1684399876558,0,305.2
1684399876758,0,306.4
1684399876958,0,307.2
1684399877158,0,306.79999999999995
1684399877359,0,306.0
1684399877559,0,306.0
1684399877759,0,306.0
1684399877960,0,306.79999999999995
1684399878160,0,305.6
1684399878360,0,306.4
1684399878560,0,306.0
1684399878761,0,306.0
1684399878961,0,306.0
1684399879161,0,306.0
1684399879361,0,306.79999999999995
1684399879562,0,306.79999999999995
1684399879762,0,306.0
1684399879962,0,306.4
1684399880163,0,305.2
1684399880363,0,306.79999999999995
1684399880563,0,306.0
1684399880763,0,306.79999999999995
1684399880964,0,306.79999999999995
1684399881164,0,306.0
1684399881364,0,306.4
1684399881565,0,305.6
1684399881765,0,305.6
1684399881965,0,306.4
1684399882165,0,305.6
1684399882366,0,306.0
1684399882566,0,308.79999999999995
1684399882766,0,306.79999999999995
1684399882967,0,307.2
1684399883167,0,306.79999999999995
1684399883367,0,306.79999999999995
1684399883567,0,306.0
1684399883768,0,305.2
1684399883968,0,305.6
1684399884168,0,305.2
1684399884368,0,305.2
1684399884569,0,305.6
1684399884769,0,306.4
1684399884969,0,305.6
1684399885170,0,306.4
1684399885370,0,306.79999999999995
1684399885570,0,306.0
1684399885770,0,305.2
1684399885971,0,313.59999999999997
1684399886171,0,308.79999999999995
1684399886371,0,306.4
1684399886572,0,305.6
1684399886772,0,309.2
1684399886972,0,305.6
1684399887172,0,307.2
1684399887373,0,306.0
1684399887573,0,305.6
1684399887773,0,307.2
1684399887973,0,306.79999999999995
1684399888174,0,306.79999999999995
1684399888374,0,306.4
1684399888574,0,306.79999999999995
1684399888775,0,306.0
1684399888975,0,306.0
1684399889175,0,306.79999999999995
1684399889375,0,306.0
1684399889576,0,306.79999999999995
1684399889776,0,306.4
1684399889976,0,307.2
1684399890177,0,307.2
1684399890377,0,306.0
1684399890577,0,306.79999999999995
1684399890777,0,306.79999999999995
1684399890978,0,306.79999999999995
1684399891178,0,306.79999999999995
1684399891378,0,306.0
1684399891579,0,306.0
1684399891779,0,308.4
1684399891979,0,307.2
1684399892179,0,306.79999999999995
1684399892380,0,306.4
1684399892580,0,307.2
1684399892780,0,305.6
1684399892980,0,307.2
1684399893181,0,306.79999999999995
1684399893381,0,306.79999999999995
1684399893581,0,306.79999999999995
1684399893782,0,306.4
1684399893982,0,308.0
1684399894182,0,307.2
1684399894382,0,307.2
1684399894583,0,306.79999999999995
1684399894783,0,306.0
1684399894983,0,306.4
1684399895183,0,307.2
1684399895384,0,306.79999999999995
1684399895584,0,306.79999999999995
1684399895784,0,306.79999999999995
1684399895985,0,306.0
1684399896185,0,306.79999999999995
1684399896385,0,306.4
1684399896585,0,305.6
1684399896786,0,307.2
1684399896986,0,306.79999999999995
1684399897186,0,308.4
1684399897386,0,306.4
1684399897587,0,306.79999999999995
1684399897787,0,306.79999999999995
1684399897987,0,306.79999999999995
1684399898188,0,306.79999999999995
1684399898388,0,306.79999999999995
1684399898588,0,307.2
1684399898788,0,306.4
1684399898989,0,306.79999999999995
1684399899189,0,306.0
1684399899389,0,306.4
1684399899589,0,306.79999999999995
1684399899790,0,306.0
1684399899990,0,306.79999999999995
1684399900190,0,306.0
1684399900391,0,306.79999999999995
1684399900591,0,306.79999999999995
1684399900791,0,305.6
1684399900991,0,318.4
1684399901192,0,308.4
1684399901392,0,307.6
1684399901592,0,306.0
1684399901793,0,306.79999999999995
1684399901993,0,306.79999999999995
1684399902193,0,306.79999999999995
1684399902393,0,307.2
1684399902594,0,306.0
1684399902794,0,306.79999999999995
1684399902994,0,306.79999999999995
1684399903194,0,306.79999999999995
1684399903395,0,307.6
1684399903595,0,306.79999999999995
1684399903795,0,306.79999999999995
1684399903996,0,306.79999999999995
1684399904196,0,306.79999999999995
1684399904396,0,310.4
